rank_valor,score_valor,valor,friccion,razon_social,telefono,email,web,crm_detectado,fichas_publicadas,ventas_rango_cop,municipios,por_que_valor,por_que_friccion,nit,categorias_gremio,direccion,web_viva,wasi_plan,wasi_cliente_desde,ventas_anio,patrimonio_neto_cop,forma_juridica,ciiu_actividad,meta_pixel,google_analytics,whatsapp_en_web,chat_automatizado,version_ingles,angulo_de_entrada,compite_con_diamond,pts_fit_tecnico,pts_capacidad_pago,pts_facturacion,pts_invierte_adq,pts_accesibilidad,pts_dolor,nota_fit,nota_tamano,nota_adquisicion,nota_acceso,telefono_rues,direccion_rues,fuente,fecha_captura
11,70,54,7,Inmobiliaria Poblasur S.A.S.,+576044088935,info@inmobiliariapoblasur.com,http://www.inmobiliariapoblasur.com/,Wasi,161,Menor de 1.000.000.000 COP,Medellín,161 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño · solo correo genérico",9012531786,Corretaje | Arrendamiento y administración de inmuebles,Clle 10 # 42 - 45 Ofc 330 Ed la plaza del poblado mall al lado de la iglesia principal del poblado.,sí,Pro/Enterprise,2021-03-01,2025,34.483.071,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),161 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6044088935,CALLE 10 42 45 OF 330,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
12,66,54,8,Juan Raíces Y Cia Ltda,+576042785490,raices@une.net.co,http://www.juanraices.com/,ninguno,243,,Caldas,243 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"WordPress: sin CRM, integración media",,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Clle 129 Sur # 49 - 56 Ofc 212,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,4,8,,web propia sin CRM inmobiliario,243 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
13,66,54,8,Colombia Raiz S.A.S,+573104613457,comercial@colombiaraiz.com,http://www.colombiaraiz.com/,ninguno,325,,Medellín,325 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"WordPress: sin CRM, integración media",,Corretaje,"Calle 3 Sur #41 - 65 Ed Banco de Occidente, Ofc 1103",sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,12,0,4,6,,web propia sin CRM inmobiliario,325 fichas publicadas,Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
14,62,48,7,Arrendamientos Giraldo Posada S.A.S.,+576043114985,info@giraldoposada.com,http://www.giraldoposada.com/,Wasi,133,Menor de 1.000.000.000 COP,Medellín,133 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño · solo correo genérico",9006425870,Corretaje | Arrendamiento y administración de inmuebles,Centro Comercail Premium Plaza local 4450,sí,Pro/Enterprise,2019-09-27,2025,301.889.607,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),133 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6043114985,CALLE 9 CR 43 A 31 INT 202,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
15,59,48,8,El Dandy Inmobiliaria S.A.S,+576044446803,mercadeo@eldandyinmobiliaria.com,http://www.eldandyinmobiliaria.com/,ninguno,6001,,Itagüí,6001 fichas — mucho volumen · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,"WordPress: sin CRM, integración media",,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Cl 49 49 A 21,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,4,8,,web propia sin CRM inmobiliario,6001 fichas publicadas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
16,55,30,2,Inverty S.A.S,+573016033565,inversiones@inverty.co,http://inverty.co/,Wasi,73,,Medellín,73 fichas · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software",9018509048,Corretaje | Arrendamiento y administración de inmuebles,Calle 3 sur # 52 A - 52,sí,Pro/Enterprise,2024-10-29,,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,14,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),73 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3016033565,CARRERA 72 B 79 B 71,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
17,54,54,12,Centro Sur S.A.S,+576044480648,canaldigital@centrosur.co,http://www.centrosur.co/,SIMI,200,,Envigado,200 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,SIMI/Domus: requiere conector nuevo,,Corretaje | Arrendamiento y administración de inmuebles,Carrera 48 # 48sur - 75,sí,,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,14,0,0,8,,SIMI/Domus (requiere conector nuevo),200 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
18,54,54,12,Compañía De Servicios Inmobiliarios Y Empresariales S.A.S (Mattis Inmobiliaria),+576044448554,mattisinmobiliaria@mattisinmobiliaria.com.co,http://www.mattisinmobiliaria.com.co/,SIMI,157,,Medellín,157 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,SIMI/Domus: requiere conector nuevo,,Administración de propiedad horizontal | Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Carrera 43A No 17 - 100,sí,,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,14,0,0,8,,SIMI/Domus (requiere conector nuevo),157 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
19,53,48,10,Inmobiliaria Protebienes S.A.S.,+573136309450,inmobiliariaprotebienes@hotmail.com,http://www.inmobiliariaprotebienes.com/,ninguno,123,,Medellín,123 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta,stack propio no identificado,,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Cl 20 59 03,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,123 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
20,53,48,10,Confuturo Propiedad Raíz S.A.S,+573137189508,ventas@confuturo.com.co,http://www.confuturopropiedadraiz.com/,ninguno,108,,Medellín,108 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta,stack propio no identificado,,Corretaje,Clle 7 # 39-215 Ofic.508,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,9,0,0,6,,web propia sin CRM inmobiliario,108 fichas,,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
21,50,48,11,G. Actual Propiedad Raíz S.A.S.,+576043533902,asesorainterna1@gactualpropiedadraiz.com,http://www.gactualpropiedadraiz.com/,ninguno,98,Menor de 1.000.000.000 COP,Medellín,98 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta,stack propio no identificado · pequeña: decide el dueño,9011409589,Corretaje | Arrendamiento y administración de inmuebles,calle 7 # 80-75,sí,,,2025,116.570.176,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,1,4,8,,web propia sin CRM inmobiliario,98 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,6044903715,CARRERA 25 1 A SUR 155 LOCAL 179,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
22,48,48,12,Royal Propiedad Raíz S.A.S,+576044488275,administrativo@royalpropiedadraiz.com,http://www.royalpropiedadraiz.com/,ninguno,115,Entre 1.000.000.000 y 2.000.000.000 COP,Medellín,115 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta,stack propio no identificado · tamaño ideal: el dueño decide,9006588051,Corretaje | Arrendamiento y administración de inmuebles,Cra 25 # 12 Sur - 59 oficina 213 Mall Complex los Balsos,sí,,,2025,298.536.244,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,4,4,8,,web propia sin CRM inmobiliario,115 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,3108221373,CARRERA 25 12 SUR 59 OF 213,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
23,46,54,16,Inversiones Bodegas Y Construcciones Mv S.A.S,+576043224042,info@bodegasyconstrucciones.co,http://www.bodegasyconstrucciones.co/,SIMI,356,,Envigado,356 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,SIMI/Domus: requiere conector nuevo · solo correo genérico,,Corretaje | Arrendamiento y administración de inmuebles,Clle 49 Sur # 45 A - 300 Ofc 2113 Edif. S 48,sí,,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,17,0,0,6,,SIMI/Domus (requiere conector nuevo),356 fichas publicadas; administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
24,40,54,20,Duque Giraldo Y Cia S.A.S,+576044489077,duque@duquegiraldo.com,http://www.duquegiraldo.com/,ninguno,292,,Medellín,292 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia,,Corretaje | Arrendamiento y administración de inmuebles,calle 10 # 43DD-15,sí,,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,4,8,,web propia sin CRM inmobiliario,292 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
25,40,54,20,Bienes Y Lugares S.A.S.,+576044444295,andresn@bodegasylocales.com,http://www.bodegasylocales.com/,ninguno,355,,Medellín,355 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia,,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,calle 90# 50D-52 int 201,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,0,8,,web propia sin CRM inmobiliario,355 fichas publicadas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
26,40,54,20,Arrendamientos Su Vivienda S.A.S,+576044481514,arrendamientos@suvivienda.com.co,http://www.suvivienda.com.co/,ninguno,214,,Medellín,214 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia,,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,Calle 6 sur # 52-32 Centro de Comercio El Rodeo local 11,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,214 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
27,40,54,20,Esencia Inmobiliaria S.A.S,+576045897888,esenciainmobiliaria@gmail.com,https://esenciainmobiliaria.com/,ninguno,275,,Medellín,275 fichas — volumen real de demanda · WhatsApp publicado sin ninguna automatización · inventario grande y sin medir pauta · sin versión en inglés,sitio a medida con equipo propio: alta resistencia,,Corretaje | Arrendamiento y administración de inmuebles,Calle 11 # 43 B - 50 Oficina 404,sí,,,,,,,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,0,8,,web propia sin CRM inmobiliario,275 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
28,39,30,7,Inmobiliaria Punto Raíz S.A,+576044407490,info@inmobiliariapuntoraiz.com,https://inmobiliariapuntoraiz.com/,Wasi,33,Menor de 1.000.000.000 COP,Medellín,33 fichas · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · pequeña: decide el dueño · solo correo genérico",8002200307,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,CL 7 A 42 70 OF 1603,sí,Pro/Enterprise,2022-03-31,2025,,SOCIEDAD ANONIMA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,14,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),33 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6044407490,CARRERA 43 A 1 85 OF 810,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
29,38,21,2,Arrendamientos Colombia S.A.S,+576043220105,administracion@arrendamientoscolombia.co,http://www.arrendamientoscolombia.co/,Wasi,,,Envigado,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software",,Corretaje | Arrendamiento y administración de inmuebles,CR 41 38 A SUR 66,sí,Pro/Enterprise,2020-12-05,,,,,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,4,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
30,38,21,2,Lemont Inmobiliaria S.A.S,+573028288809,gerencia@lemontinmobiliaria.com,https://lemontinmobiliaria.com/,Wasi,,,Medellín,inventario no legible · WhatsApp publicado sin ninguna automatización,"Wasi: integración inmediata, ya paga software · correo directo de gerencia",9015829159,Corretaje | Arrendamiento y administración de inmuebles,Carrera 71 # 1-37,sí,Pro/Enterprise,2019-12-04,,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,0,10,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email de decisor; oficina física,3028363882,CARRERA 71 1 37,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
