rank,score,razon_social,nit,municipios,categorias_gremio,telefono,email,direccion,web,web_viva,crm_detectado,wasi_plan,wasi_cliente_desde,fichas_publicadas,ventas_rango_cop,ventas_anio,patrimonio_neto_cop,forma_juridica,ciiu_actividad,meta_pixel,google_analytics,whatsapp_en_web,chat_automatizado,version_ingles,angulo_de_entrada,compite_con_diamond,pts_fit_tecnico,pts_capacidad_pago,pts_facturacion,pts_invierte_adq,pts_accesibilidad,pts_dolor,nota_fit,nota_tamano,nota_adquisicion,nota_acceso,telefono_rues,direccion_rues,fuente,fecha_captura
12,54,Inmobiliaria Poblasur S.A.S.,9012531786,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044088935,info@inmobiliariapoblasur.com,Clle 10 # 42 - 45 Ofc 330 Ed la plaza del poblado mall al lado de la iglesia principal del poblado.,http://www.inmobiliariapoblasur.com/,sí,Wasi,Pro/Enterprise,2021-03-01,161,Menor de 1.000.000.000 COP,2025,34.483.071,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),161 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6044088935,CALLE 10 42 45 OF 330,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
13,54,Bodegas Magno Inversiones S.A.S,9006168266,Medellín,Arrendamiento y administración de inmuebles,+573013107773,administrativo@bodegasmagno.com,Calle 24 44 18 OFICINA 201,http://bodegasmagno.com/,sí,Wasi+SIMI,Pro/Enterprise,,0,Entre 1.000.000.000 y 2.000.000.000 COP,2024,440.190.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,4,4,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email nominal; oficina física,3013107773,CALLE 24 44 18 OF 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
14,53,Casadolcecasa S.A.S,9019959112,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+573003375670,info@casadolcecasa.com.co,Calle 9 SUR # 50 FF - 10 Medellín,http://www.casadolcecasa.com.co/,sí,Wasi,Pro/Enterprise,,210,,,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,17,0,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),210 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,3003375670,CALLE 9 SUR 50 FF 10,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
15,52,Inverty S.A.S,9018509048,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+573016033565,inversiones@inverty.co,Calle 3 sur # 52 A - 52,http://inverty.co/,sí,Wasi,Pro/Enterprise,2024-10-29,73,,,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,14,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),73 fichas; administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,3016033565,CARRERA 72 B 79 B 71,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
16,51,Inmobiliaria Punto Raíz S.A,8002200307,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044407490,info@inmobiliariapuntoraiz.com,CL 7 A 42 70 OF 1603,https://inmobiliariapuntoraiz.com/,sí,Wasi,Pro/Enterprise,2022-03-31,33,Menor de 1.000.000.000 COP,2025,,SOCIEDAD ANONIMA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,14,1,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),33 fichas; administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,6044407490,CARRERA 43 A 1 85 OF 810,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
17,50,Arrendamientos Colombia S.A.S,,Envigado,Corretaje | Arrendamiento y administración de inmuebles,+576043220105,administracion@arrendamientoscolombia.co,CR 41 38 A SUR 66,http://www.arrendamientoscolombia.co/,sí,Wasi,Pro/Enterprise,2020-12-05,,,,,,,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,4,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
18,50,Escala Inmobiliaria Medellín S.A.S,9013322103,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576043017904,escalainmobiliariamedellin@gmail.com,"Calle 35 # 81-09, Tercer piso Laureles",http://www.escalainmobiliaria.com.co/,sí,Wasi,Pro/Enterprise,,0,Entre 1.000.000.000 y 2.000.000.000 COP,2023,157.560.201,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,6043017904,CALLE 35 81 09 INT 201,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
19,49,Viviendo Grupo Inmobiliario S.A.S,9018152501,Sabaneta,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+573116786057,servicioalcliente@viviendogrupoinmobiliario.com,Cll 67 sur 46 31,http://viviendogrupoinmobiliario.com/,sí,Wasi,Pro/Enterprise,2026-02-20,,Menor de 1.000.000.000 COP,2025,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,1,4,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email genérico; oficina física,3212799494,CARRERA 45 71 SUR 24 OF 208,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
20,48,Inmobiliaria Proteger S.A.S,,Envigado,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044446364,info@inmobiliariaproteger.com,Centro Comercail Premium Plaza local 4450,http://www.inmobiliariaproteger.com/,sí,Wasi,Pro/Enterprise,2026-05-27,,,,,,,no,sí,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,4,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,Google Analytics/Ads,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
21,48,Lemont Inmobiliaria S.A.S,9015829159,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+573028288809,gerencia@lemontinmobiliaria.com,Carrera 71 # 1-37,https://lemontinmobiliaria.com/,sí,Wasi,Pro/Enterprise,2019-12-04,,,,,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,0,10,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email de decisor; oficina física,3028363882,CARRERA 71 1 37,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
22,46,Ana Maria Gómez Zapata Con Establecimiento De Comercio Ambiente Inmobiliario S.A.S,,Itagüí,Corretaje | Arrendamiento y administración de inmuebles,+573176464232,piensaentuhogar@ambienteinmobiliario.com,Carrera 51 # 49 - 31 Ofc. 201,http://www.ambienteinmobiliario.com/,sí,Wasi+SIMI,Pro/Enterprise,,,,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
23,45,Mb Desarrollos Inmobiliarios S.A.S,9016167942,Medellín,Corretaje,+573008095789,contactombinmobiliaria@gmail.com,Cra 43 A N 19 - 17. Oficina 223. Block Centro Empresarial,http://mbinmobiliaria.co/,sí,Wasi,Pro/Enterprise,2022-09-05,,Entre 1.000.000.000 y 2.000.000.000 COP,2024,3.472.159.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas con bienes propios o arrendados,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,3,4,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),ya paga software,,email nominal; oficina física,3008095789,CARRERA 43 A 19 17 OF 223,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
24,44,La Palma Inmobiliaria S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044481900,info@lapalmainmobiliaria.com,Dirección Cra. 24DD #41 Sur - 190,http://www.lapalmainmobiliaria.com/,sí,Wasi,Pro/Enterprise,2019-03-18,,,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,8,0,0,6,,Wasi plan Pro/Ent (API lista + ya paga SaaS),administra arriendos (ingreso recurrente); ya paga software,,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
25,44,El Sitio Inmobiliario S.A,,Medellín,Corretaje,+576044449440,gerencia@elsitioinmobiliario.com.co,Calle 3Sur No. 43A - 52 Ofc. 1404,http://www.elsitioinmobiliario.com.co/,sí,ninguno,,,149,,,,,,sí,sí,sí,sí,no,Web propia sin CRM: ecosistema completo,sí,10,9,0,15,10,,web propia sin CRM inmobiliario,149 fichas,Meta Pixel activo; Google Analytics/Ads; ya usa chat/bot de terceros,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
26,44,Arrendamientos Envigado S.A.S,8909139929,Envigado,Corretaje | Arrendamiento y administración de inmuebles,+576044446868,gerencia@arrendamientosenvigadosa.com.co,CRA 43 38 SUR 75,http://www.arrendamientosenvigadosa.com.co/,sí,ninguno,,,1543,Entre 10.000.000.000 y 20.000.000.000 COP,2025,10.942.836.000,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,7,0,10,,web propia sin CRM inmobiliario,1543 fichas publicadas; administra arriendos (ingreso recurrente),,email de decisor; oficina física,6044446868,CARRERA 43 38 SUR 75,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
27,41,Keygroup Propiedades Y Vehiculos S.A.S.,,Medellín,Corretaje,+573216412876,j.hernandez@keygroup.com.co,Cra 20 # 23 Sur 25,http://keygrouppropiedades.com/,sí,Wasi,Pro/Enterprise,2021-07-23,,,,,,,no,no,sí,no,no,Ya tiene inventario en Wasi pero no mide pauta: DMAP le publica y mide sin tocar su web,sí,30,3,0,0,8,,Wasi plan Pro/Ent (API lista + ya paga SaaS),ya paga software,,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
28,40,Inmobiliaria Gómez Y Asociados S.A.S,,Medellín,Arrendamiento y administración de inmuebles,+576044485545,gh@gomezyasociados.com.co,CL 7 S 42 70 OF 1603,http://www.gomezyasociados.com.co/,sí,SIMI,,,,,,,,,sí,sí,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,5,0,12,8,,SIMI/Domus (requiere conector nuevo),administra arriendos (ingreso recurrente),Meta Pixel activo; Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
29,40,Royal Propiedad Raíz S.A.S,9006588051,Medellín,Corretaje | Arrendamiento y administración de inmuebles,+576044488275,administrativo@royalpropiedadraiz.com,Cra 25 # 12 Sur - 59 oficina 213 Mall Complex los Balsos,http://www.royalpropiedadraiz.com/,sí,ninguno,,,115,Entre 1.000.000.000 y 2.000.000.000 COP,2025,298.536.244,SOCIEDAD POR ACCIONES SIMPLIFICADA,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,4,4,8,,web propia sin CRM inmobiliario,115 fichas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,3108221373,CARRERA 25 12 SUR 59 OF 213,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
30,39,Acrecer S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044440048,acrecer@acrecer.com,Calle 27 sur #25 B 51,http://www.acrecer.com/,sí,ninguno,,,760,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,4,8,,web propia sin CRM inmobiliario,760 fichas publicadas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
31,39,El Dandy Inmobiliaria S.A.S,,Itagüí,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044446803,mercadeo@eldandyinmobiliaria.com,Cl 49 49 A 21,http://www.eldandyinmobiliaria.com/,sí,ninguno,,,6001,,,,,,no,sí,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,17,0,4,8,,web propia sin CRM inmobiliario,6001 fichas publicadas; administra arriendos (ingreso recurrente),Google Analytics/Ads,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
32,38,Inversiones Bodegas Y Construcciones Mv S.A.S,,Envigado,Corretaje | Arrendamiento y administración de inmuebles,+576043224042,info@bodegasyconstrucciones.co,Clle 49 Sur # 45 A - 300 Ofc 2113 Edif. S 48,http://www.bodegasyconstrucciones.co/,sí,SIMI,,,356,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,17,0,0,6,,SIMI/Domus (requiere conector nuevo),356 fichas publicadas; administra arriendos (ingreso recurrente),,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
33,38,Arriendo Inmuebles.Com S.A.S,,Medellín,Arrendamiento y administración de inmuebles,+576043221017,info@arriendoinmuebles.com,Cra. 42 # 3 SUR 81 OFC 516,http://arriendoinmuebles.com/,sí,ninguno,,,84,,,,,,sí,no,sí,no,no,Publica WhatsApp sin ninguna automatización: Sofi atiende 24/7 y califica,sí,10,14,0,8,6,,web propia sin CRM inmobiliario,84 fichas; administra arriendos (ingreso recurrente),Meta Pixel activo,email genérico; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
34,37,Arrendamientos Merino Hermanos S.A.S,,Medellín,Corretaje | Arrendamiento y administración de inmuebles | Avalúos,+576044444033,gerencia@merinohermanos.com.co,CALLE 44 #78-35,https://merinohermanos.com/,sí,ninguno,,,,,,,,,sí,sí,no,no,no,Web propia sin CRM: ecosistema completo,sí,10,5,0,12,10,,web propia sin CRM inmobiliario,administra arriendos (ingreso recurrente),Meta Pixel activo; Google Analytics/Ads,email de decisor; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
35,37,Centro Sur S.A.S,,Envigado,Corretaje | Arrendamiento y administración de inmuebles,+576044480648,canaldigital@centrosur.co,Carrera 48 # 48sur - 75,http://www.centrosur.co/,sí,SIMI,,,200,,,,,,no,no,sí,no,no,"Usa SIMI para arriendos: entrar por Sofi (atención WhatsApp), NO por recaudo",sí,15,14,0,0,8,,SIMI/Domus (requiere conector nuevo),200 fichas; administra arriendos (ingreso recurrente),,email nominal; oficina física,,,La Lonja de Propiedad Raíz de Medellín y Antioquia — lonja.org.co/afiliados-1/,2026-07-25
